Title,Hammer_Price,Low_Estimate_price,High_Estimate_price,Signature,Size,created_date,Medium,Auction_Lot,Auction_House,Auction_Date,sold_status,height,width
Bord de la Seine à Lavacourt,22500,3060000,4050000,Signed Lower Right,54.00 x 65.00,1878,Oil / Canvas,37,Seoul Auction,"03/29/2019
                ",sold,65.0,54.0
VUE D'ARGENTEUIL,1657920,696360,928480,Signed Lower Right,42.00 x 83.00,1872,Oil / Canvas,408,Sotheby's Paris,"03/29/2019
                ",sold,83.0,42.0
ÉTUDE DE NYMPHÉAS ,59190,58030,81240,Signed,26.70 x 50.00,nogiven,Oil / Canvas,4,Marc Arthur Kohn,"03/20/2019
                ",sold,50.0,26.7
Nymphéas ,131250,131250,196880,Unavailable,23.30 x 23.20,nogiven,Oil / Canvas,436,"Christie's London, King Street","02/28/2019
                ",sold,23.2,23.3
Saule pleureur et bassin aux nymphéas ,0,0,0,Stamped,199.00 x 180.00,1916-1919,Oil / Canvas,11,"Christie's London, King Street","02/27/2019
                ",not sold,180.0,199.0
Iris,0,5250000,7875000,Stamped,99.50 x 87.50,1924-1925,Oil / Canvas,13,"Christie's London, King Street","02/27/2019
                ",not sold,87.5,99.5
Au bord du fjord de Christiania,6974300,5906250,8531250,Signed and Dated,64.80 x 91.40,1895,Oil / Canvas,44,"Christie's London, King Street","02/27/2019
                ",sold,91.4,64.8
ZOUAVE,52500,26250,39380,Stamped,30.90 x 22.80,nogiven,Pencil / Paper,167,"Sotheby's London, New Bond Street","02/27/2019
                ",sold,22.8,30.9
GAMIN DES RUES,45940,26250,39380,Unavailable,30.90 x 22.80,1857,Pencil / Paper,168,"Sotheby's London, New Bond Street","02/27/2019
                ",sold,22.8,30.9
LE PALAIS DUCAL,36138380,26250000,39375000,Signed and Dated,81.00 x 93.00,1908,Oil / Canvas,6,"Sotheby's London, New Bond Street","02/26/2019
                ",sold,93.0,81.0
Coucher de soleil sur la mer,1297550,92850,116060,Signed Lower Right,25.00 x 25.00,nogiven,Pastel / Paper,74,Millon & Associes,"11/26/2018
                ",sold,25.0,25.0
LA MAISON À TRAVERS LES ROSES,1035000,800000,1200000,Stamped,62.23 x 81.61,1925-26,Oil / Canvas,425,Sotheby's New York,"11/13/2018
                ",sold,81.61,62.23
PORTRAIT D'ANDRÉ LAUVRAY,507000,300000,500000,Signed and Dated,46.36 x 38.10,1880,Oil / Canvas,428,Sotheby's New York,"11/13/2018
                ",sold,38.1,46.36
CHARING CROSS BRIDGE,2235000,2000000,3000000,Unavailable,65.10 x 80.01,1899-1901,Oil / Canvas,37,Sotheby's New York,"11/12/2018
                ",sold,80.01,65.1
LA FALAISE D'AMONT,3615000,3500000,4500000,Signed Lower Right,60.96 x 73.36,1885,Oil / Canvas,41,Sotheby's New York,"11/12/2018
                ",sold,73.36,60.96
PRUNES ET ABRICOTS,0,1500000,2000000,Signed Lower Left,18.11 x 38.43,1882-85,Oil / Canvas,42,Sotheby's New York,"11/12/2018
                ",not sold,38.43,18.11
"BOUQUET DE GLAÏEULS, LIS ET MARGUERITES",9556800,7000000,10000000,Signed and Dated,82.55 x 62.23,1878,Oil / Canvas,44,Sotheby's New York,"11/12/2018
                ",sold,62.23,82.55
Nymphéas ,200000,150000,250000,Unavailable,21.92 x 17.78,nogiven,Oil / Canvas,255,"Christie's New York, Rockefeller Center","11/12/2018
                ",sold,17.78,21.92
Azalées rouges en pot,828500,700000,1000000,Unavailable,120.02 x 37.16,1883,Oil / Canvas,272,"Christie's New York, Rockefeller Center","11/12/2018
                ",sold,37.16,120.02
Jeune fille dans le jardin de Giverny,16062500,15000000,25000000,Signed and Dated,73.36 x 92.41,1888,Oil / Canvas,16A,"Christie's New York, Rockefeller Center","11/11/2018
                ",sold,92.41,73.36
L’Escalier à Vétheuil,0,12000000,18000000,Signed and Dated,81.28 x 64.77,1881,Oil / Canvas,19A,"Christie's New York, Rockefeller Center","11/11/2018
                ",not sold,64.77,81.28
Le bassin aux nymphéas,31812500,30000000,50000000,Stamped,100.97 x 200.66,1917-1919,Oil / Canvas,32A,"Christie's New York, Rockefeller Center","11/11/2018
                ",sold,200.66,100.97
Effet de neige à Giverny,15500000,5000000,8000000,Signed and Dated,65.41 x 92.71,1893,Oil / Canvas,37A,"Christie's New York, Rockefeller Center","11/11/2018
                ",sold,92.71,65.41
