Title,Hammer_Price,Low_Estimate_price,High_Estimate_price,Signature,created_date,Medium,Auction_Lot,Auction_House,Auction_Date,sold_status,height,width
Joseph-Gabriel Tourny,0,92850,139270,Signed,1872,Oil  on paper laid down on canvas,219,Christie's Paris,"03/29/2019
                ",sold,18.4,21.9
Chanteuse de café-concert,0,232120,348180,Signed,nogiven,Pastel  over montype / Paper,30,Christie's Paris,"03/28/2019
                ",sold,19.2,25.7
Danseuses dans une salle d'exercice ,5484610,1050000,1575000,Signed,nogiven,Oil / Canvas,24,"Christie's London, King Street","02/27/2019
                ",sold,22.7,27.5
FILLETTE PORTANT DES FLEURS DANS SON TABLIER,262500,131250,196880,Stamped,1860-62,Oil / Canvas,349,"Sotheby's London, New Bond Street","02/27/2019
                ",sold,55.7,73.3
Tête d'homme,0,350000,450000,Stamped,1864,Oil / Canvas on board,523,"Christie's New York, Rockefeller Center","11/14/2018
                ",sold,23.83,31.12
SCÈNE D'INTÉRIEUR,225000,250000,350000,Stamped,1867,Oil / Board,138,Sotheby's New York,"11/13/2018
                ",sold,33.35,52.07
PORTRAIT D'HOMME ASSIS,0,300000,500000,Unavailable,1864-68,Oil / Canvas,431,Sotheby's New York,"11/13/2018
                ",sold,29.85,37.47
ITALIENNE,43750,40000,60000,Inscribed,1856,Watercolor / Paper,444,Sotheby's New York,"11/13/2018
                ",sold,14.61,28.27
Buste de danseuse au corsage rouge,0,200000,300000,Stamped,1899,Pastel  pastel on joined paper laid down on card,178,"Christie's New York, Rockefeller Center","11/12/2018
                ",sold,21.92,41.28
Paul Valpinçon,0,120000,180000,Unavailable,1868-1872,Oil  on paper laid down on canvas / Canvas,279,"Christie's New York, Rockefeller Center","11/12/2018
                ",sold,24.46,32.39
Petites filles spartiates provoquant des garçons ,1452500,400000,600000,Stamped,1860,Oil / Canvas on board,406,"Christie's New York, Rockefeller Center","11/12/2018
                ",sold,32.08,49.86
Quatre danseuses,5937500,5000000,7000000,Signed Lower Left,1903,Pastel  paper laid down on card,46A,"Christie's New York, Rockefeller Center","11/11/2018
                ",sold,88.9,78.74
"Après le bain, trois femmes nues",483980,393750,525000,Stamped,1890-95,Pastel / Paper,174,"Christie's London, King Street","06/21/2018
                ",sold,80.5,63.6
FEMME À SA TOILETTE,958130,656250,918750,Stamped,1897,Pastel  on joined sheets of paper laid down on the artist's board,36,"Sotheby's London, New Bond Street","06/19/2018
                ",sold,32.0,41.3
"A Standing Dancer, Her Hands Behind Her Back ",272510,232120,348180,Stamped,1887,Pastel  and charcoal / Paper,10,"Dorotheum, Vienna","05/15/2018
                ",sold,39.5,47.0
Deux femmes appuyées à une barrière ,2292500,3000000,5000000,Signed Lower Left,1882-1885,Pastel / Paper,10A,"Christie's New York, Rockefeller Center","05/15/2018
                ",sold,66.68,52.07
Arlequin et danseuses,0,2000000,4000000,Signed,1884,Pastel / Paper,39A,"Christie's New York, Rockefeller Center","05/15/2018
                ",sold,46.69,34.62
TROIS DANSEUSES DEBOUT PRÈS D'UN PORTANT,0,700000,1000000,Stamped,1900,Pastel  and charcoal / Card,145,Sotheby's New York,"05/15/2018
                ",sold,57.79,70.82
Femme assise dans un jardin,1452500,1000000,1500000,Unavailable,1872-73,Oil / Canvas,516,"Christie's New York, Rockefeller Center","05/10/2018
                ",sold,40.64,33.02
"Étude d'après Luca della Robbia, ""Cantoria""",31920,23210,34820,Unavailable,1856,Oil  on paper laid on canvas,282,Christie's Paris,"03/23/2018
                ",sold,23.0,21.0
JOCKEY,595390,232120,348180,Stamped,1881-85,Pastel  and charcoal / Paper,2,Sotheby's Paris,"03/22/2018
                ",sold,23.5,31.5
FEMME EN PEIGNOIR ROUGE SE COIFFANT,0,464240,696360,Stamped,1889,"Pastel  , charcoal, stumping and black crayon / Paper",5,Sotheby's Paris,"03/22/2018
                ",sold,68.2,56.6
DANSEUSE RAJUSTANT SA COIFFURE,0,196880,262500,Stamped,1900,Pastel  and charcoal / Paper on board,175,"Sotheby's London, New Bond Street","03/01/2018
                ",sold,36.0,56.0
Pelouse et route sous-bois,95160,65630,105000,Stamped,1890-93,Pastel / Paper,257,"Christie's London, King Street","02/28/2018
                ",sold,49.7,32.5
Dans les coulisses,11804300,10500000,15750000,Signed Lower Left,C1882-1885,Pastel / Linen,20,"Christie's London, King Street","02/27/2018
                ",sold,37.5,66.7
DEUX JOCKEYS,350000,80000,120000,Stamped,1868-70,Gouache  and oil / Paper,25,Sotheby's New York,"01/31/2018
                ",sold,31.12,23.83
TROIS DANSEUSES,1575000,900000,1200000,Stamped,1889,"Pastel  , charcoal and chalk / Paper",19,Sotheby's New York,"11/14/2017
                ",sold,49.86,44.78
AVANT LA COURSE,2415000,3000000,5000000,Signed Lower Left,1882-88,Oil  on paper laid down on board in a cradled panel,31,Sotheby's New York,"11/14/2017
                ",sold,46.36,29.54
APRÈS LE BAIN ,4405300,5000000,7000000,Stamped,1903,Pastel  and chalk on paper laid down on board,35,Sotheby's New York,"11/14/2017
                ",sold,74.3,86.06
Femme se coiffant,492500,450000,650000,Stamped,1892-95,Pastel  and charcoal / Paper,159,"Christie's New York, Rockefeller Center","11/14/2017
                ",sold,61.93,47.96
Femme à sa toilette,0,600000,800000,Signed,1900,Pastel  and charcoal on paper / Card,168,"Christie's New York, Rockefeller Center","11/14/2017
                ",sold,78.11,110.49
Buste de danseuse au corsage rouge,0,300000,500000,Stamped,1899,Pastel  on paper / Card,191,"Christie's New York, Rockefeller Center","11/14/2017
                ",sold,21.92,41.28
Danseuse remettant son chausson,111460,89170,127380,Stamped,1873,Oil  and pencil / Paper,225,"Christie's London, King Street","06/28/2017
                ",sold,20.4,31.5
LA PROMENADE DES CHEVAUX,0,127380,191070,Stamped,1881-85,Pastel  and charcoal / Paper,325,"Sotheby's London, New Bond Street","06/22/2017
                ",sold,31.0,25.0
LE DUO,143750,120000,180000,Signed,1877-79,Pastel  over monotype / Paper,195,Sotheby's New York,"05/17/2017
                ",sold,16.21,11.76
PETITES FILLES SPARTIATES PROVOQUANT DES GARÇONS,6087500,4000000,6000000,Stamped,1860,Oil / Canvas,24,Sotheby's New York,"05/16/2017
                ",sold,81.28,65.74
LE BALLET,0,2000000,3000000,Stamped,1891,Oil  on cradled panel,26,Sotheby's New York,"05/16/2017
                ",sold,26.67,34.93
"Danseuse debout, les mains derrière le dos",0,250000,350000,Signed Lower Right,1882-85,Pastel  and charcoal / Paper,158,"Christie's New York, Rockefeller Center","05/16/2017
                ",sold,39.07,47.32
Femme s'essuyant les pieds,2047500,1200000,1600000,Stamped,1893,Pastel / Paper on board,24A,"Christie's New York, Rockefeller Center","05/15/2017
                ",sold,61.93,54.94
Chevaux et jockeys,0,1000000,2000000,Stamped,1890-95,"Oil  , charcoal, brush and ink / Panel",55A,"Christie's New York, Rockefeller Center","05/15/2017
                ",sold,40.97,31.75
Gondole à Venise,266,213,320,Unavailable,nogiven,Pastel / Paper,21,Marambat de Malafosse,"03/30/2017
                ",sold,57.0,96.0
Cavalier et amazone,154640,0,0,Signed Lower Left,nogiven,Pastel  and pencil / Paper,30,Millon & Associes,"03/29/2017
                ",sold,22.0,31.0
LA RUE QUESNOY À SAINT-VALÉRY-SUR-SOMME,200140,160110,213480,Stamped,1895-98,Pastel / Paper,45,Sotheby's Paris,"03/23/2017
                ",sold,63.83,47.96
CHEZ LA MODISTE ,392270,320220,533700,Stamped,1885,Pastel  and charcoal / Paper,47,Sotheby's Paris,"03/23/2017
                ",sold,58.42,45.72
"AU CAFÉ-CONCERT, DEUX CHANTEUSES",0,213480,320220,Stamped,1878-80,Pastel  and charcoal / Paper,50,Sotheby's Paris,"03/23/2017
                ",sold,45.42,47.63
Madame Camus devant son piano,143570,106740,160110,Stamped,1869,Pastel  and black chalk / Paper,141,Christie's Paris,"03/23/2017
                ",sold,31.8,43.3
"FEMME NUE, DE DOS, SE COIFFANT ",6737560,7422600,9896800,Signed,1886-88,Pastel / Paper on board,24,"Sotheby's London, New Bond Street","03/01/2017
                ",sold,59.0,70.8
Trois danseuses,634570,436350,561020,Stamped,188,Pastel / Paper,20,"Christie's London, King Street","02/28/2017
                ",sold,55.5,70.5
