Title,Hammer_Price,Low_Estimate_price,High_Estimate_price,Signature,created_date,Medium,Auction_Lot,Auction_House,Auction_Date,sold_status,height,width
Chevaux blancs et charrettes,60930,46420,69640,Inscribed and Signed,1862,Oil / Panel,211,Christie's Paris,"03/29/2019
                ",sold,22.0,16.9
"PORTRAIT DU PEINTRE LUDOVIC PIETTE, AVEC SON CHAPEAU ROND",261140,81240,116060,Signed,nogiven,Pastel / Paper,120,Sotheby's Paris,"03/28/2019
                ",sold,30.8,44.3
PAYSANNES ASSISES GARDANT DES VACHES,188600,92850,139270,Signed and Dated,1886,Gouache  and pencil / Linen,216,Sotheby's Paris,"03/28/2019
                ",sold,39.0,27.6
Landscape - circa 1880,0,17410,23210,Stamped,1880,Watercolor and pencil / Paper,7,Artcurial,"03/20/2019
                ",sold,32.5,25.0
"La fille de l'artiste, Minette",15590,6560,9190,Stamped,1867,Watercolor and pencil / Paper,36,Bonhams Bond Street,"02/28/2019
                ",sold,10.8,15.3
La porteuse de bois,0,65630,105000,Signed Lower Right,1885,Watercolor and gouache / Paper,316,"Christie's London, King Street","02/28/2019
                ",sold,13.7,19.0
"Bords de l'Epte à Êragny, soleil couchant",1038520,787500,1050000,Signed and Dated,1897,Oil / Canvas,42,"Christie's London, King Street","02/27/2019
                ",sold,73.2,60.2
LE CLOCHER DE BAZINCOURT ,229690,157500,236250,Stamped,1895,Oil / Canvas,142,"Sotheby's London, New Bond Street","02/27/2019
                ",sold,54.0,65.0
"EFFET DE PLUIE AU VALHERMEIL, AUVERS-SUR-OISE",229690,105000,157500,Signed and Dated,1881,Oil / Canvas,353,"Sotheby's London, New Bond Street","02/27/2019
                ",sold,46.4,38.1
"JEANNE PISSARRO DITE MINETTE, ASSISE AU JARDIN, PONTOISE",2224690,1312500,1968750,Stamped,1872,Oil / Canvas,22,"Sotheby's London, New Bond Street","02/26/2019
                ",sold,60.0,73.0
Paysage,0,40060,60080,Signed Monogram,nogiven,Pastel / Paper,3202,"Galerie Koller, AG, Zurich","12/07/2018
                ",sold,50.0,33.0
Pontoise. Um 1874/75,0,16250,20890,Stamped,1874/75,Watercolor and pencil / Paper,515,"Ketterer Kunst, Munich","12/06/2018-12/08/2018
                ",sold,25.1,17.7
