Title,Hammer_Price,Low_Estimate_price,High_Estimate_price,Signature,created_date,Medium,Auction_Lot,Auction_House,Auction_Date,sold_status,height,width
Paysage de Nîmes avec colonnes,awaiting result,92850,116060,Signed Lower Left,nogiven,Oil / Canvas,68,Bayeux Encheres,"04/22/2019
                ",sold,37.0,24.0
LANDSCAPE IN THE VICINITY OF CAGNES,awaiting result,116060,139270,Signed Lower Left,nogiven,Oil / Canvas,30,Versailles Enchères Perrin-Royère-Lajeunesse,"04/14/2019
                ",sold,45.0,24.0
"a gut, Like the sea",55130,40620,52230,Signed Monogram,nogiven,Oil / Canvas,72,Cambi,"04/02/2019
                ",sold,14.5,14.5
JEUNE FILLE SE PEIGNANT ,2635660,1537200,2562000,Signed Lower Left,1896,Oil / Canvas,1010,Sotheby's Hong Kong,"03/31/2019
                ",sold,47.0,57.2
Paysage,0,102480,192150,Signed Initials,nogiven,Oil / Canvas,695,"China Guardian Hong Kong Auctions, Co","03/30/2019
                ",sold,24.7,16.5
"Nature morte, fleurs, oranges et citrons",1214570,464240,580300,Signed,1888,Oil / Canvas,27,Binoche et Giquello,"03/29/2019
                ",sold,65.5,54.5
Paysage de Normandie,168740,69640,92850,Signed Lower Left,1894,Oil / Canvas,28,Binoche et Giquello,"03/29/2019
                ",sold,32.5,21.0
Nu debout,261140,208910,290150,Signed Lower Left,1910,Oil / Canvas,218,Christie's Paris,"03/29/2019
                ",sold,29.2,36.7
Étude de têtes,12330,17410,23210,Unavailable,1898,Oil / Canvas,222,Christie's Paris,"03/29/2019
                ",sold,6.0,8.3
Esquisse de tête,20310,11610,17410,Signed Monogram,1898,Oil  on canvas joined,224,Christie's Paris,"03/29/2019
                ",sold,8.6,11.0
LA FEMME EN BLEU,488030,406210,522270,Signed,1914,Oil / Canvas,403,Sotheby's Paris,"03/29/2019
                ",sold,25.3,33.2
Nature morte aux pêches,262500,131250,196880,Signed Lower Left,1905,Oil / Canvas,8,Bonhams Bond Street,"02/28/2019
                ",sold,30.5,20.3
Buste de femme,0,393750,656250,Signed,1911,Oil / Canvas,9,Bonhams Bond Street,"02/28/2019
                ",sold,28.5,36.7
Arbres au bord de l'eau et voilier,90230,78750,105000,Stamped,1985,Watercolor / Paper,314,"Christie's London, King Street","02/28/2019
                ",sold,23.0,16.7
Vase d'anémones,1117270,328130,459380,Signed Lower Right,1910,Oil / Canvas,423,"Christie's London, King Street","02/28/2019
                ",sold,44.2,31.5
