Title,Hammer_Price,Low_Estimate_price,High_Estimate_price,Signature,Size,created_date,Medium,Auction_Lot,Auction_House,Auction_Date,sold_status,height,width
STUDY FOR 'GIRLIE SHOW',62500,50000,70000,Inscribed,27.94 x 20.83,1941,Pencil  and charcoal on cream paper,16,Sotheby's New York,"03/06/2019
                ",sold,20.83,27.94
TWO COMEDIANS,12492200,12000000,18000000,Signed Lower Left,73.66 x 101.60,1966,Oil / Canvas,15,Sotheby's New York,"11/16/2018
                ",sold,101.6,73.66
Cottages at North Truro,3492500,2000000,3000000,Signed Lower Right,50.80 x 71.12,1938,Watercolor and pencil / Paper,11B,"Christie's New York, Rockefeller Center","11/13/2018
                ",sold,71.12,50.8
Chop Suey,91875000,70000000,100000000,Signed Lower Right,81.28 x 96.52,1929,Oil / Canvas,12B,"Christie's New York, Rockefeller Center","11/13/2018
                ",sold,96.52,81.28
"""Scarboro Bridge & Lake""",5860,5000,7000,Signed and Titled,21.59 x 29.21,nogiven,Pencil / Paper,66,Barridoff Galleries,"10/27/2018
                ",sold,29.21,21.59
"""STUDY OF FEET""",34820,11610,17410,Signed Lower Right,17.48 x 12.70,1900,Pencil / Paper,106,Grisebach,"10/25/2018
                ",sold,12.7,17.48
STUDY FOR 'SUMMER EVENING',225000,200000,300000,Unavailable,19.69 x 26.04,1947,Charcoal / Paper,10,Sotheby's New York,"05/23/2018
                ",sold,26.04,19.69
STUDY FOR 'A WOMAN IN THE SUN',150000,150000,250000,Unavailable,19.69 x 26.04,1961,Charcoal / Paper,12,Sotheby's New York,"05/23/2018
                ",sold,26.04,19.69
A Double-sided Study,4613,3500,5500,Unsigned,46.99 x 29.36,nogiven,Pencil / Paper,337,"Skinner Inc, Boston","05/11/2018
                ",sold,29.36,46.99
Rich's House,3252500,2000000,3000000,Inscribed and Signed,40.64 x 63.50,1930,Watercolor  and charcoal / Paper,402,"Christie's New York, Rockefeller Center","05/09/2018
                ",sold,63.5,40.64
Cape Ann Granite,8412500,6000000,8000000,Signed Lower Right,73.66 x 102.24,1928,Oil / Canvas,408,"Christie's New York, Rockefeller Center","05/09/2018
                ",sold,102.24,73.66
